mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
36.680776262283324,2.1459981240702235,0.04495368003845215,0.009161466407059199,2,0.01,1,1600,8,5,"{'random_strength': 2, 'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 1600, 'depth': 8, 'bagging_temperature': 5}",-5.526575060113853,-5.017706807628369,-5.0280740336533265,-5.798368226158251,-5.521644706827352,-5.378473766876231,0.3071403718069362,10,5.378473766876231
6.587562608718872,0.8883507634157837,0.04815068244934082,0.016280143165396683,5,0.03,15,800,6,1,"{'random_strength': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 15, 'iterations': 800, 'depth': 6, 'bagging_temperature': 1}",-5.7916000518643935,-5.238024025939504,-5.397819403867305,-6.052880824222709,-5.992974200959245,-5.6946597013706315,0.3235248514022892,30,5.6946597013706315
33.964440727233885,2.049145172213923,0.08262491226196289,0.08954074104991437,2,0.05,3,500,10,0,"{'random_strength': 2, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 10, 'bagging_temperature': 0}",-5.573967916684645,-5.006580005255257,-5.0992728920466535,-5.817405135593478,-5.537536975746797,-5.406952585065366,0.306066233511788,12,5.406952585065366
33.068034934997556,1.7242685413775034,0.05071592330932617,0.009540340061182147,0.5,0.05,3,500,10,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 10, 'bagging_temperature': 0.5}",-5.7177557783027,-5.234511937963965,-5.03961770849566,-5.9057790010359765,-5.5230730201710285,-5.484147489193866,0.31425651810135175,21,5.484147489193866
27.087129068374633,2.7614829238543983,0.04810285568237305,0.021914559301452658,0.5,0.05,1,1200,8,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 8, 'bagging_temperature': 0.5}",-5.705448689519231,-5.027963697984173,-5.046831694783205,-5.628251440483855,-5.463953323854516,-5.374489769324995,0.2861372580164512,9,5.374489769324995
5.137138843536377,0.4048757222754686,0.024834728240966795,0.005703641235881083,0,0.01,7,800,5,1,"{'random_strength': 0, 'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 800, 'depth': 5, 'bagging_temperature': 1}",-6.076756053580502,-5.742310569533924,-5.683910462068858,-6.630097940463212,-6.341954288961347,-6.095005862921569,0.35805963489128156,39,6.095005862921569
7.2208270072937015,1.1377640216900606,0.04223933219909668,0.015499451364509491,5,0.01,15,800,6,0,"{'random_strength': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 15, 'iterations': 800, 'depth': 6, 'bagging_temperature': 0}",-6.125805728290925,-6.146497581456665,-5.975981775426581,-6.930410684632095,-6.471971779558517,-6.330133509872956,0.3409827646163751,40,6.330133509872956
10.822759008407592,0.9990816866251675,0.06291737556457519,0.04155163909211187,0,0.08,15,800,7,0.5,"{'random_strength': 0, 'learning_rate': 0.08, 'l2_leaf_reg': 15, 'iterations': 800, 'depth': 7, 'bagging_temperature': 0.5}",-5.56142835929849,-5.0043432045409935,-4.957428408247235,-5.647343402923871,-5.475311612934739,-5.329170997589065,0.28991029264426615,5,5.329170997589065
3.005362319946289,0.4935263797539127,0.03822793960571289,0.01902740918967504,0,0.03,3,500,5,0.5,"{'random_strength': 0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 5, 'bagging_temperature': 0.5}",-5.730030460226845,-5.258975488980422,-5.240728047662609,-5.931886461204284,-5.8175294536871425,-5.595829982352261,0.2897111370159889,26,5.595829982352261
7.970715475082398,1.196975393385689,0.08914923667907715,0.06182091734526535,5,0.03,7,1200,5,5,"{'random_strength': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 1200, 'depth': 5, 'bagging_temperature': 5}",-5.646120382000108,-5.127997270442494,-5.2101328599952845,-5.742517613586246,-5.646870725314165,-5.47472777026766,0.2533584538018266,19,5.47472777026766
